tabela;arquivo;cnpj;data_inicial;data_final;data_geracao;entidade;registros
BAL_DESP;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\BAL_DESP.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";751
BAL_REC;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\BAL_REC.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";435
BAL_VER;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\BAL_VER.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";1728
BREC_ANT;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\BREC_ANT.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";534
BRUB_ANT;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\BRUB_ANT.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";1311
BVER_ANT;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\BVER_ANT.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";1583
BVMOVANT;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\BVMOVANT.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";1583
CREDOR;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\CREDOR.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";688
CTA_DISP;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\CTA_DISP.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";130
CTA_OPER;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\CTA_OPER.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";0
DECRETO;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\DECRETO.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";146
EMPENHO;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\EMPENHO.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";5559
FUNCAO;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\FUNCAO.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";116
LIQUIDAC;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\LIQUIDAC.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";7877
ORGAO;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\ORGAO.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";50
PAGAMENT;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\PAGAMENT.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";7632
PROGRAMA;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\PROGRAMA.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";104
PROJATIV;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\PROJATIV.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";655
RECEITA;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\RECEITA.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";435
RECURSO;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\RECURSO.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";189
REC_ANT;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\REC_ANT.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";534
RUBRICA;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\RUBRICA.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";3921
SUBFUNC;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\SUBFUNC.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";434
SUBPROG;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\SUBPROG.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";8
TCE_4111;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\tce_4111.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";273113
UNIORCAM;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\pm\MES09\UNIORCAM.TXT";87612826000190;1546300800;1569801600;1571011200;"PREFEITURA MUNICIPAL INDEPENDENCIA";123
BAL_DESP;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\BAL_DESP.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";25
BAL_REC;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\BAL_REC.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";0
BAL_VER;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\BAL_VER.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";241
BREC_ANT;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\BREC_ANT.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";0
BRUB_ANT;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\BRUB_ANT.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";48
BVER_ANT;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\BVER_ANT.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";239
BVMOVANT;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\BVMOVANT.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";239
CREDOR;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\CREDOR.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";41
CTA_DISP;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\CTA_DISP.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";3
CTA_OPER;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\CTA_OPER.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";0
DECRETO;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\DECRETO.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";6
EMPENHO;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\EMPENHO.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";200
FUNCAO;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\FUNCAO.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";116
LIQUIDAC;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\LIQUIDAC.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";223
ORGAO;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\ORGAO.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";50
PAGAMENT;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\PAGAMENT.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";219
PROGRAMA;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\PROGRAMA.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";104
PROJATIV;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\PROJATIV.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";655
RECEITA;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\RECEITA.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";0
RECURSO;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\RECURSO.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";189
REC_ANT;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\REC_ANT.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";0
RUBRICA;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\RUBRICA.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";3921
SUBFUNC;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\SUBFUNC.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";434
SUBPROG;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\SUBPROG.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";8
TCE_4111;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\tce_4111.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";5673
UNIORCAM;"C:\Users\everton.INDEPENDENCIA\Documents\Prefeitura\2019\PAD\2019-09\cm\MES09\UNIORCAM.TXT";12292535000162;1546300800;1569801600;1570752000;"CAMARA DE VEREADORES DE INDEPENDENCIA-RS";4
